distance_m,sigma_y_class1,sigma_y_class2,sigma_y_class3,sigma_y_class4,sigma_y_class5,sigma_y_class6,sigma_z_class1,sigma_z_class2,sigma_z_class3,sigma_z_class4,sigma_z_class5,sigma_z_class6
147,32.1049,23.3490,16.0524,11.6745,8.7559,5.8373,29.4000,17.6400,11.5908,7.9836,4.2237,2.2527
148,32.3217,23.5067,16.1608,11.7533,8.8150,5.8767,29.6000,17.7600,11.6686,8.0330,4.2512,2.2673
149,32.5385,23.6644,16.2692,11.8322,8.8741,5.9161,29.8000,17.8800,11.7463,8.0823,4.2787,2.2820
150,32.7553,23.8220,16.3776,11.9110,8.9333,5.9555,30.0000,18.0000,11.8240,8.1316,4.3062,2.2967
151,32.9720,23.9796,16.4860,11.9898,8.9924,5.9949,30.2000,18.1200,11.9016,8.1808,4.3337,2.3113
152,33.1887,24.1372,16.5944,12.0686,9.0515,6.0343,30.4000,18.2400,11.9793,8.2299,4.3611,2.3259
153,33.4054,24.2948,16.7027,12.1474,9.1106,6.0737,30.6000,18.3600,12.0569,8.2790,4.3886,2.3406
154,33.6221,24.4524,16.8110,12.2262,9.1697,6.1131,30.8000,18.4800,12.1345,8.3280,4.4160,2.3552
155,33.8388,24.6100,16.9194,12.3050,9.2288,6.1525,31.0000,18.6000,12.2122,8.3770,4.4434,2.3698
156,34.0554,24.7676,17.0277,12.3838,9.2878,6.1919,31.2000,18.7200,12.2898,8.4259,4.4708,2.3844
157,34.2720,24.9251,17.1360,12.4625,9.3469,6.2313,31.4000,18.8400,12.3673,8.4748,4.4981,2.3990
158,34.4886,25.0826,17.2443,12.5413,9.4060,6.2707,31.6000,18.9600,12.4449,8.5236,4.5255,2.4136
159,34.7052,25.2401,17.3526,12.6201,9.4650,6.3100,31.8000,19.0800,12.5225,8.5724,4.5528,2.4282
160,34.9217,25.3976,17.4609,12.6988,9.5241,6.3494,32.0000,19.2000,12.6000,8.6211,4.5802,2.4427
161,35.1383,25.5551,17.5691,12.7776,9.5832,6.3888,32.2000,19.3200,12.6775,8.6697,4.6075,2.4573
162,35.3548,25.7126,17.6774,12.8563,9.6422,6.4281,32.4000,19.4400,12.7550,8.7183,4.6348,2.4719
163,35.5713,25.8700,17.7856,12.9350,9.7013,6.4675,32.6000,19.5600,12.8325,8.7668,4.6620,2.4864
164,35.7877,26.0274,17.8939,13.0137,9.7603,6.5069,32.8000,19.6800,12.9100,8.8153,4.6893,2.5010
165,36.0042,26.1849,18.0021,13.0924,9.8193,6.5462,33.0000,19.8000,12.9874,8.8637,4.7165,2.5155
166,36.2206,26.3423,18.1103,13.1711,9.8783,6.5856,33.2000,19.9200,13.0649,8.9121,4.7438,2.5300
167,36.4370,26.4996,18.2185,13.2498,9.9374,6.6249,33.4000,20.0400,13.1423,8.9604,4.7710,2.5445
168,36.6534,26.6570,18.3267,13.3285,9.9964,6.6643,33.6000,20.1600,13.2197,9.0086,4.7982,2.5590
169,36.8698,26.8144,18.4349,13.4072,10.0554,6.7036,33.8000,20.2800,13.2971,9.0568,4.8254,2.5735
170,37.0861,26.9717,18.5430,13.4859,10.1144,6.7429,34.0000,20.4000,13.3745,9.1050,4.8525,2.5880
171,37.3024,27.1290,18.6512,13.5645,10.1734,6.7823,34.2000,20.5200,13.4519,9.1531,4.8797,2.6025
172,37.5187,27.2863,18.7594,13.6432,10.2324,6.8216,34.4000,20.6400,13.5293,9.2011,4.9068,2.6170
173,37.7350,27.4436,18.8675,13.7218,10.2914,6.8609,34.6000,20.7600,13.6066,9.2491,4.9339,2.6314
174,37.9512,27.6009,18.9756,13.8005,10.3503,6.9002,34.8000,20.8800,13.6839,9.2970,4.9610,2.6459
175,38.1675,27.7582,19.0837,13.8791,10.4093,6.9395,35.0000,21.0000,13.7612,9.3449,4.9881,2.6603
176,38.3837,27.9154,19.1918,13.9577,10.4683,6.9789,35.2000,21.1200,13.8385,9.3927,5.0152,2.6748
177,38.5999,28.0726,19.2999,14.0363,10.5272,7.0182,35.4000,21.2400,13.9158,9.4405,5.0423,2.6892
178,38.8161,28.2299,19.4080,14.1149,10.5862,7.0575,35.6000,21.3600,13.9931,9.4882,5.0693,2.7036
179,39.0322,28.3871,19.5161,14.1935,10.6451,7.0968,35.8000,21.4800,14.0704,9.5358,5.0963,2.7180
180,39.2483,28.5442,19.6242,14.2721,10.7041,7.1361,36.0000,21.6000,14.1476,9.5835,5.1233,2.7324
181,39.4644,28.7014,19.7322,14.3507,10.7630,7.1754,36.2000,21.7200,14.2248,9.6310,5.1503,2.7468
182,39.6805,28.8586,19.8403,14.4293,10.8220,7.2146,36.4000,21.8400,14.3020,9.6785,5.1773,2.7612
183,39.8966,29.0157,19.9483,14.5079,10.8809,7.2539,36.6000,21.9600,14.3792,9.7260,5.2043,2.7756
184,40.1126,29.1728,20.0563,14.5864,10.9398,7.2932,36.8000,22.0800,14.4564,9.7734,5.2312,2.7900
185,40.3287,29.3299,20.1643,14.6650,10.9987,7.3325,37.0000,22.2000,14.5336,9.8207,5.2582,2.8044
186,40.5447,29.4870,20.2723,14.7435,11.0576,7.3718,37.2000,22.3200,14.6107,9.8680,5.2851,2.8187
187,40.7607,29.6441,20.3803,14.8221,11.1165,7.4110,37.4000,22.4400,14.6879,9.9152,5.3120,2.8331
188,40.9766,29.8012,20.4883,14.9006,11.1754,7.4503,37.6000,22.5600,14.7650,9.9624,5.3389,2.8474
189,41.1926,29.9582,20.5963,14.9791,11.2343,7.4896,37.8000,22.6800,14.8421,10.0096,5.3658,2.8617
190,41.4085,30.1153,20.7042,15.0576,11.2932,7.5288,38.0000,22.8000,14.9192,10.0566,5.3926,2.8761
191,41.6244,30.2723,20.8122,15.1361,11.3521,7.5681,38.2000,22.9200,14.9963,10.1037,5.4195,2.8904
192,41.8402,30.4293,20.9201,15.2146,11.4110,7.6073,38.4000,23.0400,15.0733,10.1507,5.4463,2.9047
193,42.0561,30.5863,21.0280,15.2931,11.4698,7.6466,38.6000,23.1600,15.1504,10.1976,5.4731,2.9190
194,42.2719,30.7432,21.1360,15.3716,11.5287,7.6858,38.8000,23.2800,15.2274,10.2445,5.4999,2.9333
195,42.4877,30.9002,21.2439,15.4501,11.5876,7.7250,39.0000,23.4000,15.3044,10.2913,5.5267,2.9476
196,42.7035,31.0571,21.3518,15.5286,11.6464,7.7643,39.2000,23.5200,15.3814,10.3381,5.5535,2.9618
197,42.9193,31.2140,21.4597,15.6070,11.7053,7.8035,39.4000,23.6400,15.4584,10.3848,5.5802,2.9761
198,43.1351,31.3709,21.5675,15.6855,11.7641,7.8427,39.6000,23.7600,15.5354,10.4315,5.6069,2.9904
199,43.3508,31.5278,21.6754,15.7639,11.8229,7.8820,39.8000,23.8800,15.6123,10.4781,5.6337,3.0046
200,43.5665,31.6847,21.7832,15.8424,11.8818,7.9212,40.0000,24.0000,15.6893,10.5247,5.6604,3.0189
